,0,1,2,3,4,5,6,7,8,9,10
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02038131207046687,0.2595117026611865,0.6005153868843693,0.9420960918486054,1.2626324254274675,1.621632278938586,1.8436964480378042,2.3015564694916697,2.8600189627312402,3.3065625670409897,3.7352611041318697
2,0.0,0.0881047076868818,0.3661874166931086,0.7077681216573448,0.9954808984884216,1.3243833335303692,1.5464475026295879,2.004307524083453,2.5627700173230235,2.976490064884988,3.405188601975868
3,0.0,0.0,0.058183002473439126,0.279173108863073,0.5257597802094035,0.8546622152513512,1.0767263843505694,1.4461210817135348,1.9426244458654098,2.345052242546621,2.7602962640802104
4,0.0,0.0,0.0,0.04221650534159258,0.21485351445539141,0.4623642407387615,0.6353466720933463,0.9986577202530739,1.4298120903795553,1.8254417671764185,2.176275806913301
5,0.0,0.0,0.0,0.0,0.056470841539674584,0.24428624178859498,0.4172686731431797,0.7452392021252052,1.152038765394939,1.5123279230141002,1.8631619627509828
6,0.0,0.0,0.0,0.0,0.0,0.04995284995066823,0.17385354356061938,0.4426156184262092,0.8118108594649952,1.1217946389675204,1.4726286787044027
7,0.0,0.0,0.0,0.0,0.0,0.0,0.02486610591464931,0.21945969899958664,0.51448645825772,0.8244702377602452,1.1753042774971276
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07517851387615024,0.3259687078016468,0.635952487304172,0.9845702040093015
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04830355693625729,0.2658433192600961,0.5388128616429806
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07679218820889515,0.2858063446857311
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054357470913942815
